Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"585"	"ZNF649"	"609.7"	"ARCHS4 Coexpression,141;Enrichr Queries,339;GTEx Coexpression,1349"	"PLK2,CYP2S1,ID1"
"gene_set_query"	"586"	"HIC1"	"609.7"	"ARCHS4 Coexpression,232;Enrichr Queries,112;GTEx Coexpression,1485"	"PLK2,ID2,ID1,SNAI1,LAMC1"
"gene_set_query"	"587"	"OSR1"	"610.5"	"ARCHS4 Coexpression,2;GTEx Coexpression,1219"	"ZBTB47,IL1R1,LAMC1"
"gene_set_query"	"588"	"NKX28"	"611.0"	"ARCHS4 Coexpression,877;GTEx Coexpression,345"	"HSPA2"
"gene_set_query"	"589"	"TRPS1"	"611.0"	"ARCHS4 Coexpression,1536;Enrichr Queries,154;GTEx Coexpression,143"	"PLK2,ID2,LAMC1,VSIG10L,CLU"
"gene_set_query"	"590"	"ZNF706"	"612.0"	"ARCHS4 Coexpression,242;Enrichr Queries,763;GTEx Coexpression,831"	"ID2,ID1,LAMC1"
"gene_set_query"	"591"	"SOX10"	"613.0"	"ARCHS4 Coexpression,168;Enrichr Queries,597;ReMap ChIP-seq,270;GTEx Coexpression,1417"	"ID2,ID1,LAMC1"
"gene_set_query"	"592"	"ZNF300"	"613.3"	"ARCHS4 Coexpression,230;Enrichr Queries,117;GTEx Coexpression,1493"	"PLK2,ID2,ID1,CLU,ADGRL3"
"gene_set_query"	"593"	"ZNF581"	"613.3"	"ARCHS4 Coexpression,545;Enrichr Queries,848;GTEx Coexpression,447"	"ID1"
"gene_set_query"	"594"	"SNAPC4"	"613.5"	"ARCHS4 Coexpression,1012;Enrichr Queries,624;ReMap ChIP-seq,199;GTEx Coexpression,619"	"ID1,LAMC1"
"gene_set_query"	"595"	"PKNOX1"	"614.0"	"ARCHS4 Coexpression,1000;Enrichr Queries,456;ReMap ChIP-seq,30;GTEx Coexpression,970"	"IL1R1,ID2,ID1,SH3BP5,LAMC1,VSIG10L"
"gene_set_query"	"596"	"ZNF177"	"614.0"	"ARCHS4 Coexpression,1389;Enrichr Queries,291;GTEx Coexpression,162"	"ID2,ID1,HSPA2,RTL5"
